SNRdb,Empirical Variance,Mean of Estimates
-10.0,6664440266423483.0,161615.29668321848
-8.979591836734693,5844835602787169.0,711994.195827798
-7.959183673469388,5493272441116234.0,1013391.0589263119
-6.938775510204081,5483593516922906.0,-5617326.26316195
-5.918367346938775,4087769442487654.5,2342357.4851298206
-4.8979591836734695,4273034235016425.0,422472.89051330177
-3.8775510204081627,3381621644462505.0,-2189810.5217025517
-2.8571428571428568,3416589576354550.0,86943.11999344062
-1.8367346938775508,2341702394389425.5,6285312.522941072
-0.816326530612244,1884887987986158.8,-1917132.0613173442
0.204081632653061,1261067500713097.0,-3389749.334746573
1.2244897959183678,691853131284889.9,2073602.7826076923
2.2448979591836746,407910655119130.4,2638372.749425648
3.2653061224489797,215646084720825.12,-246696.4399395227
4.2857142857142865,75471832051431.08,822833.6820382179
5.3061224489795915,33058058230347.0,354591.77746084885
6.326530612244898,5281498618663.916,802681.9881391824
7.346938775510203,1690560801194.6238,705930.6080141541
8.367346938775512,6542906487.406696,632502.738589448
9.387755102040817,22699400897.515682,622003.3171479116
10.408163265306122,4070107854.9863615,633235.5879883778
11.42857142857143,3933813431.98459,630276.5066278104
12.448979591836736,2878022242.655813,626455.4804097618
13.46938775510204,2135186239.6848726,620001.3868607177
14.48979591836735,1741857889.379253,623203.5564025998
15.510204081632654,1216407450.9288058,627861.844355892
16.53061224489796,984864658.4585556,630562.5077120452
17.551020408163264,627926972.1075603,629203.1440318009
18.571428571428573,656447177.9924313,629544.2331889045
19.591836734693878,502079810.4228181,626055.618233576
20.612244897959183,431289327.1974848,626871.5801274184
21.63265306122449,330163016.74785984,629908.9174688889
22.653061224489797,225069370.69244683,628447.1757661053
23.673469387755105,183092106.74807245,628558.0488134078
24.693877551020407,122047893.56923641,627017.4803019633
25.714285714285715,92703136.82372616,627635.4592144896
26.734693877551024,93005190.34088653,628402.2829010881
27.755102040816325,79272299.66490331,628228.253306449
28.775510204081634,57900684.74141626,628213.9911732812
29.795918367346943,47648593.16261122,628538.5486950227
30.816326530612244,34208646.569404304,629061.2017589333
31.836734693877553,30354887.429171477,628442.2820902469
32.85714285714286,20302446.798141807,627884.6729005965
33.87755102040816,21597039.47463869,628692.1120593008
34.89795918367347,14344194.861044705,628173.6871311669
35.91836734693878,11356042.88673698,628295.5012224113
36.93877551020408,7099358.227665298,628433.4167212611
37.95918367346939,7653518.549072419,628131.4140332724
38.9795918367347,5628988.529510263,628450.6882303719
40.0,4349302.317770017,628403.247567147
